StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q20,Q2,Q3,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_5_TEXT,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_6_TEXT,Q21
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your NetId (e.g. wz334),Did you encounter any technical bugs when using the app?,What bugs did you meet?,I enjoyed participating in this project.,This project was interesting.,I did not care about what I did in this project.,This project helped me apply theories/concepts in real-life situations.,This project helped me have a deeper understanding of theories/concepts taught in DEA1500.,This project helped me have a better understanding of my physical surroundings.,I put effort into posting and commenting.,I tried to find a good scenario to post every time.,I kept browsing through peers’ posts to understand their ideas.,I tried to enhance my understanding of the course knowledge through reading others’ comments on my posts.,What possible changes to the guideline do you think would increase your engagement in this project? - Selected Choice - Comments should NOT be mandatory,"What possible changes to the guideline do you think would increase your engagement in this project? - Selected Choice - ""cool"", ""funny"", ""useful"" reactions should be mandatory",What possible changes to the guideline do you think would increase your engagement in this project? - Selected Choice - Should use mobile device instead of laptop to post,What possible changes to the guideline do you think would increase your engagement in this project? - Selected Choice - Add a title to the post to summarize the post content,"What possible changes to the guideline do you think would increase your engagement in this project? - Selected Choice - Others, please specify","What possible changes to the guideline do you think would increase your engagement in this project? - Others, please specify - Text","What possible changes to the app do you think would increase your engagement in this project? - Selected Choice - Show the topic (HER process) of each post in ""community"" page",What possible changes to the app do you think would increase your engagement in this project? - Selected Choice - Add a summary list of all posts’ titles in “community” page,"What possible changes to the app do you think would increase your engagement in this project? - Selected Choice - Just use ""like"" instead of ""cool"", ""funny"", ""useful""",What possible changes to the app do you think would increase your engagement in this project? - Selected Choice - Add links to profiles of whom left comments,What possible changes to the app do you think would increase your engagement in this project? - Selected Choice - Add a filter to only see posts by friends,"What possible changes to the app do you think would increase your engagement in this project? - Selected Choice - Others, please specify","What possible changes to the app do you think would increase your engagement in this project? - Others, please specify - Text",Is there anything you want to share with us regarding your experience participating in this project?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID16"",""choiceId"":""1""}","{""ImportId"":""QID16"",""choiceId"":""2""}","{""ImportId"":""QID16"",""choiceId"":""3""}","{""ImportId"":""QID16"",""choiceId"":""4""}","{""ImportId"":""QID16"",""choiceId"":""5""}","{""ImportId"":""QID16_5_TEXT""}","{""ImportId"":""QID17"",""choiceId"":""1""}","{""ImportId"":""QID17"",""choiceId"":""2""}","{""ImportId"":""QID17"",""choiceId"":""3""}","{""ImportId"":""QID17"",""choiceId"":""4""}","{""ImportId"":""QID17"",""choiceId"":""5""}","{""ImportId"":""QID17"",""choiceId"":""6""}","{""ImportId"":""QID17_6_TEXT""}","{""ImportId"":""QID21_TEXT""}"
2022-09-25 13:28:40,2022-09-25 13:29:02,IP Address,*******,100,21,True,2022-09-25 13:29:02,R_1Fx57yMEXO2rZnQ,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-25 18:43:41,2022-09-25 18:48:53,IP Address,*******,100,312,True,2022-09-25 18:48:53,R_1GU4qfE4rF6coZe,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-25 20:08:57,2022-09-25 20:11:36,IP Address,*******,100,158,True,2022-09-25 20:11:36,R_3NxO7r0IYBt92V6,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-25 20:11:44,2022-09-25 20:13:40,IP Address,*******,100,115,True,2022-09-25 20:13:41,R_3QEtxAMC3qO4B16,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-25 20:13:46,2022-09-25 20:14:35,IP Address,*******,100,49,True,2022-09-25 20:14:35,R_1fm8jasrbY4bZzO,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-25 20:14:41,2022-09-25 20:19:55,IP Address,*******,100,314,True,2022-09-25 20:19:56,R_BKXdEXv0rTC7j8Z,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-25 23:49:41,2022-09-25 23:50:24,IP Address,*******,100,42,True,2022-09-25 23:50:24,R_D17qeKm22hJv1Gp,*******,*******,*******,*******,*******,*******,anonymous,EN,dfd,No,,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,,"""cool"", ""funny"", ""useful"" reactions should be mandatory",,,,,,,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",,Add a filter to only see posts by friends,,,
2022-09-25 21:03:13,2022-09-25 23:51:53,IP Address,*******,100,10119,True,2022-09-25 23:51:53,R_3Dpum1eEQJMOMZb,*******,*******,*******,*******,*******,*******,anonymous,EN,yh294,No,,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,Add a title to the post to summarize the post content,,,"Show the topic (HER process) of each post in ""community"" page",,,,,,,
