StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q20,Q2,Q3,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q22,Q23,Q16_1,Q16_2,Q16_3,Q16_4,Q16_6,Q16_6_TEXT,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_6_TEXT,Q21
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your NetId (e.g. wz334),Did you encounter any technical bugs when using the app in the last 3 weeks?,What bugs did you meet?,I enjoyed participating in this project.,This project was interesting.,I did not care about what I did in this project.,This project helped me apply theories/concepts in real-life situations.,This project helped me have a deeper understanding of theories/concepts taught in DEA1500.,This project helped me have a better understanding of my physical surroundings.,I put effort into posting and commenting.,I tried to find a good scenario to post every time.,I kept browsing through peers’ posts to understand their ideas.,I tried to enhance my understanding of the course knowledge through reading others’ comments on my posts.,"I think the change to the guideline: ""use mobile device or laptop to post"" increased my engagement.","I think the change to the App: ""show the topic (HER process) of each post in 'community' page"" increased my engagement.",What possible changes to the guideline do you think would increase your engagement in this project? - Selected Choice - Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,"What possible changes to the guideline do you think would increase your engagement in this project? - Selected Choice - When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose any learned topics in the course.",What possible changes to the guideline do you think would increase your engagement in this project? - Selected Choice - Posts should answer a specific given question on a topic (e.g. how to reduce crowding by design) rather than simply related to the topic,"What possible changes to the guideline do you think would increase your engagement in this project? - Selected Choice - When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose learned topics in the last 2 weeks.","What possible changes to the guideline do you think would increase your engagement in this project? - Selected Choice - Others, please specify","What possible changes to the guideline do you think would increase your engagement in this project? - Others, please specify - Text",What possible changes to the app do you think would increase your engagement in this project? - Selected Choice - Default post order in “community” page should be organized by random rather than by time,What possible changes to the app do you think would increase your engagement in this project? - Selected Choice - Add a @TA feature to ask for TAs' opinions,What possible changes to the app do you think would increase your engagement in this project? - Selected Choice - Add a @peers feature to ask for peers' opinions,What possible changes to the app do you think would increase your engagement in this project? - Selected Choice - Add links to profiles of whom left comments,What possible changes to the app do you think would increase your engagement in this project? - Selected Choice - Add a filter to only see posts by friends,"What possible changes to the app do you think would increase your engagement in this project? - Selected Choice - Others, please specify","What possible changes to the app do you think would increase your engagement in this project? - Others, please specify - Text",Is there anything you want to share with us regarding your experience participating in this project?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID16"",""choiceId"":""1""}","{""ImportId"":""QID16"",""choiceId"":""2""}","{""ImportId"":""QID16"",""choiceId"":""3""}","{""ImportId"":""QID16"",""choiceId"":""4""}","{""ImportId"":""QID16"",""choiceId"":""6""}","{""ImportId"":""QID16_6_TEXT""}","{""ImportId"":""QID17"",""choiceId"":""1""}","{""ImportId"":""QID17"",""choiceId"":""2""}","{""ImportId"":""QID17"",""choiceId"":""3""}","{""ImportId"":""QID17"",""choiceId"":""4""}","{""ImportId"":""QID17"",""choiceId"":""5""}","{""ImportId"":""QID17"",""choiceId"":""6""}","{""ImportId"":""QID17_6_TEXT""}","{""ImportId"":""QID21_TEXT""}"
2022-10-17 09:19:35,2022-10-17 09:22:38,IP Address,*******,100,183,True,2022-10-17 09:22:38,R_2ahigdMUHAKBRjQ,*******,*******,*******,*******,*******,*******,anonymous,EN,mc2594,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,,,,"When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose learned topics in the last 2 weeks.",,,Default post order in “community” page should be organized by random rather than by time,,Add a @peers feature to ask for peers' opinions,,,,,"nothing else "
2022-10-17 09:21:35,2022-10-17 09:23:36,IP Address,*******,100,121,True,2022-10-17 09:23:37,R_2ZIF5e1IpzQy9yy,*******,*******,*******,*******,*******,*******,anonymous,EN,jms834,No,,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,,"When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose any learned topics in the course.",,,,,Default post order in “community” page should be organized by random rather than by time,,,,,,,
2022-10-17 09:24:34,2022-10-17 09:25:55,IP Address,*******,100,80,True,2022-10-17 09:25:55,R_PA11ahVpwjSIVDb,*******,*******,*******,*******,*******,*******,anonymous,EN,smg377,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,Posts should answer a specific given question on a topic (e.g. how to reduce crowding by design) rather than simply related to the topic,"When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose learned topics in the last 2 weeks.",,,,Add a @TA feature to ask for TAs' opinions,,Add links to profiles of whom left comments,,,,
2022-10-17 09:25:08,2022-10-17 09:41:12,IP Address,*******,100,964,True,2022-10-17 09:41:12,R_3RqmJgT0mlDXDJk,*******,*******,*******,*******,*******,*******,anonymous,EN,wc465,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,"When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose any learned topics in the course.",,,,,,Add a @TA feature to ask for TAs' opinions,,,,,,I think this activity of posting enhances my learning!
2022-10-17 09:40:33,2022-10-17 09:42:33,IP Address,*******,100,120,True,2022-10-17 09:42:33,R_5mujDLCIVqjXOdX,*******,*******,*******,*******,*******,*******,anonymous,EN,rls457,No,,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,,,Posts should answer a specific given question on a topic (e.g. how to reduce crowding by design) rather than simply related to the topic,,,,Default post order in “community” page should be organized by random rather than by time,Add a @TA feature to ask for TAs' opinions,,,,,,
2022-10-17 09:12:00,2022-10-17 09:43:52,IP Address,*******,100,1911,True,2022-10-17 09:43:53,R_3EWrCxamsxjF37R,*******,*******,*******,*******,*******,*******,anonymous,EN,ic277,No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,,,Add a @TA feature to ask for TAs' opinions,,Add links to profiles of whom left comments,,,,No thank you!
2022-10-17 09:59:57,2022-10-17 10:01:16,IP Address,*******,100,79,True,2022-10-17 10:01:17,R_DtTOrbAaNHvQoZH,*******,*******,*******,*******,*******,*******,anonymous,EN,msr268,No,,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,"When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose any learned topics in the course.",,,,,,,,,Add a filter to only see posts by friends,,,n/a
2022-10-17 10:03:04,2022-10-17 10:04:23,IP Address,*******,100,79,True,2022-10-17 10:04:24,R_3HHRKlHG8hrE014,*******,*******,*******,*******,*******,*******,anonymous,EN,lc739,No,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,"When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose any learned topics in the course.",,"When posting notes, we should not be constrained to select topics from last week’s lecture but should be allowed to choose learned topics in the last 2 weeks.",,,Default post order in “community” page should be organized by random rather than by time,,,,,,,
