id,event,obj,page_load_time,trigger_time,user_id,device
420,8,,2022-08-28 15:13:49,2022-08-28 18:13:59.589303,,1
421,10,,2022-08-28 15:13:59,2022-08-28 18:15:19.553836,46,1
422,9,,2022-08-28 15:15:18,2022-08-28 18:15:26.700333,46,1
423,13,,2022-08-28 15:15:26,2022-08-28 18:16:44.249742,46,1
424,28,,2022-08-28 15:16:43,2022-08-28 18:16:53.685561,46,1
425,27,,2022-08-28 15:16:53,2022-08-28 18:17:16.024776,46,1
426,28,,2022-08-28 15:17:15,2022-08-28 18:18:08.671621,46,1
427,26,,2022-08-28 15:18:08,2022-08-28 18:19:07.609469,46,0
428,27,,2022-08-28 15:19:07,2022-08-28 18:19:38.607678,46,0
429,26,,2022-08-28 15:19:38,2022-08-28 18:20:44.074260,46,0
430,28,,2022-08-28 15:20:43,2022-08-28 18:36:33.540388,46,0
431,2,,2022-08-28 15:36:32,2022-08-28 18:37:02.686927,46,0
432,6,,2022-08-28 15:37:02,2022-08-28 18:37:05.552933,,0
433,8,,2022-08-28 15:37:04,2022-08-28 18:37:27.981689,,0
434,10,,2022-08-28 15:37:27,2022-08-28 18:37:47.740905,47,0
435,28,,2022-08-28 15:37:47,2022-08-28 18:37:53.448912,47,0
436,22,4,2022-08-28 15:37:52,2022-08-28 18:38:09.373957,47,0
437,21,4,2022-08-28 15:37:52,2022-08-28 18:38:16.590212,47,0
438,7,,2022-08-28 19:55:34,2022-08-28 22:55:38.383737,,1
439,1,,2022-08-28 19:55:38,2022-08-28 22:55:44.220328,46,1
440,8,,2022-08-28 19:55:53,2022-08-28 22:56:04.622203,,1
441,7,,2022-08-29 12:38:13,2022-08-29 00:38:13.195362,,1
442,10,,2022-08-29 12:38:18,2022-08-29 00:38:28.434938,37,1
443,28,,2022-08-29 12:40:23,2022-08-29 00:47:47.861497,37,1
444,7,,2022-08-29 12:50:22,2022-08-29 00:50:21.478864,,1
445,28,,2022-08-29 12:50:25,2022-08-29 00:50:23.474822,37,1
446,8,,2022-08-29 12:50:32,2022-08-29 00:50:32.573002,,1
461,6,,2022-08-29 07:11:29,2022-08-29 10:11:31.526052,,0
462,8,,2022-08-29 07:11:31,2022-08-29 10:11:52.582294,,0
464,7,,2022-08-29 10:21:53,2022-08-29 13:21:58.114100,,1
465,28,,2022-08-29 10:21:58,2022-08-29 13:22:00.422796,46,1
466,6,,2022-08-29 14:12:03,2022-08-29 14:12:09.497407,,1
467,8,,2022-08-29 14:12:09,2022-08-29 14:13:00.286621,,1
468,10,,2022-08-29 14:13:00,2022-08-29 14:14:03.622468,51,1
469,10,,2022-08-29 14:13:00,2022-08-29 14:14:58.690108,51,1
470,10,,2022-08-29 14:15:01,2022-08-29 14:15:06.080138,51,1
471,26,,2022-08-29 14:15:06,2022-08-29 14:15:09.583336,51,1
472,1,,2022-08-29 14:15:09,2022-08-29 14:15:12.826434,51,1
473,26,,2022-08-29 14:15:09,2022-08-29 14:15:15.045751,51,1
474,28,,2022-08-29 14:15:15,2022-08-29 14:15:16.413626,51,1
475,27,,2022-08-29 14:15:16,2022-08-29 14:15:26.949239,51,1
476,6,,2022-08-29 20:49:01,2022-08-29 20:49:07.838252,,0
477,6,,2022-08-29 20:49:05,2022-08-29 20:49:09.924666,,1
478,6,,2022-08-29 20:49:15,2022-08-29 20:49:19.057561,,1
479,6,,2022-08-29 20:49:38,2022-08-29 20:49:39.908410,,0
480,8,,2022-08-29 20:49:19,2022-08-29 20:49:46.618124,,1
481,27,,2022-08-29 20:50:26,2022-08-29 20:50:33.716559,52,1
482,26,,2022-08-29 20:50:34,2022-08-29 20:50:38.492668,52,1
483,6,,2022-08-29 20:51:30,2022-08-29 20:51:31.932076,,1
484,8,,2022-08-29 20:51:32,2022-08-29 20:51:49.411976,,1
485,8,,2022-08-29 20:51:49,2022-08-29 20:52:05.465531,,1
486,9,,2022-08-29 20:52:05,2022-08-29 20:52:19.666227,54,1
487,1,,2022-08-29 20:53:32,2022-08-29 20:53:34.973125,53,0
488,9,,2022-08-29 20:53:32,2022-08-29 20:53:40.499492,53,0
489,6,,2022-08-29 20:54:12,2022-08-29 20:54:14.186901,,1
490,8,,2022-08-29 20:54:14,2022-08-29 20:55:06.690393,,1
491,1,,2022-08-29 20:55:07,2022-08-29 20:55:13.511719,55,1
492,28,,2022-08-29 20:55:07,2022-08-29 20:55:15.384802,55,1
493,26,,2022-08-29 20:55:15,2022-08-29 20:55:33.325031,55,1
494,27,,2022-08-29 20:55:33,2022-08-29 20:55:34.022707,55,1
495,6,,2022-08-29 20:56:11,2022-08-29 20:56:16.832517,,1
496,6,,2022-08-29 21:06:47,2022-08-29 21:06:53.251580,,0
497,6,,2022-08-29 21:17:13,2022-08-29 21:17:19.665398,,1
498,6,,2022-08-29 21:18:18,2022-08-29 21:18:19.357557,,1
499,8,,2022-08-29 21:17:20,2022-08-29 21:18:21.682577,,1
500,6,,2022-08-29 21:18:18,2022-08-29 21:18:27.831739,,1
501,10,,2022-08-29 21:18:22,2022-08-29 21:20:26.442086,56,1
502,9,,2022-08-29 21:20:27,2022-08-29 21:20:31.148555,56,1
503,1,,2022-08-29 21:20:31,2022-08-29 21:20:39.998541,56,1
504,1,,2022-08-29 21:20:31,2022-08-29 21:20:40.447084,56,1
505,9,,2022-08-29 21:20:47,2022-08-29 21:20:51.658150,57,1
506,22,6,2022-08-29 21:26:03,2022-08-29 21:26:07.318621,57,1
507,6,,2022-08-29 21:28:28,2022-08-29 21:28:29.917650,,1
508,6,,2022-08-29 21:29:21,2022-08-29 21:29:23.521277,,1
509,9,,2022-08-29 21:29:16,2022-08-29 21:29:35.731961,58,1
510,6,,2022-08-29 21:29:37,2022-08-29 21:29:41.338080,,1
511,8,,2022-08-29 21:29:23,2022-08-29 21:30:00.014101,,1
512,8,,2022-08-29 21:29:41,2022-08-29 21:30:13.778733,,1
513,13,,2022-08-29 21:20:31,2022-08-29 21:30:14.990179,56,1
514,1,,2022-08-29 21:30:25,2022-08-29 21:30:44.569788,56,1
515,28,,2022-08-29 21:30:25,2022-08-29 21:30:46.363026,56,1
516,10,,2022-08-29 21:30:14,2022-08-29 21:31:11.593891,60,1
517,10,,2022-08-29 21:30:00,2022-08-29 21:31:20.538457,59,1
518,10,,2022-08-29 21:31:11,2022-08-29 21:31:21.229951,60,1
519,9,,2022-08-29 21:31:21,2022-08-29 21:31:26.526424,60,1
520,10,,2022-08-29 21:30:00,2022-08-29 21:31:28.040956,59,1
521,9,,2022-08-29 21:31:29,2022-08-29 21:31:30.341227,59,1
522,1,,2022-08-29 21:31:26,2022-08-29 21:31:33.867459,60,1
523,28,,2022-08-29 21:30:47,2022-08-29 21:31:37.995555,56,1
524,13,,2022-08-29 21:40:39,2022-08-29 21:40:41.950646,58,1
525,26,,2022-08-29 21:41:46,2022-08-29 21:41:52.295734,58,1
526,13,,2022-08-29 21:31:30,2022-08-29 21:43:47.857851,59,1
527,27,,2022-08-29 21:43:52,2022-08-29 21:44:13.722009,59,1
528,28,,2022-08-29 21:44:13,2022-08-29 21:44:14.185763,59,1
529,6,,2022-08-29 21:56:47,2022-08-29 21:56:51.946504,,1
530,6,,2022-08-29 21:57:32,2022-08-29 21:57:33.597230,,1
531,6,,2022-08-29 22:00:05,2022-08-29 22:00:10.610075,,1
532,28,,2022-08-29 19:17:12,2022-08-29 22:17:14.861219,37,1
533,28,,2022-08-29 19:17:30,2022-08-29 22:18:21.935112,37,1
534,26,,2022-08-29 19:19:48,2022-08-29 22:20:49.670202,37,1
535,28,,2022-08-29 19:25:38,2022-08-29 22:25:40.471832,37,1
536,7,,2022-08-29 19:27:11,2022-08-29 22:27:16.118755,,1
537,7,,2022-08-29 19:27:16,2022-08-29 22:27:21.239893,,1
538,21,4,2022-08-29 19:27:21,2022-08-29 22:27:33.260136,46,1
539,21,4,2022-08-29 19:27:21,2022-08-29 22:27:35.307856,46,1
540,21,4,2022-08-29 19:27:21,2022-08-29 22:27:36.692406,46,1
541,1,,2022-08-29 19:27:44,2022-08-29 22:27:45.542526,46,1
542,21,4,2022-08-29 19:27:56,2022-08-29 22:27:58.703117,46,1
543,21,4,2022-08-29 19:27:56,2022-08-29 22:27:59.475886,46,1
544,1,,2022-08-29 19:28:02,2022-08-29 22:28:05.470508,46,1
545,28,,2022-08-29 19:28:06,2022-08-29 22:28:43.056700,46,1
