id,created,user_id,records,reason,img,superuser,group,is_ta,kind
4,2022-08-28 18:16:44.316203,46,,"Fu illustrates how culture or historical background can contribute to homeyness.  It functions as a mnemonic or memory aid, connecting me personally to my space because of my family background growing up in China.",img/WeChat_Image_20220826101808.jpg,0,0,0,homeyness
5,2022-08-29 20:54:36.301410,54,,"These are Christmas lights or fairy lights but it makes it pretty and warm color tones in my room, making it feel comfortable.",img/image.jpg,0,206,0,homeyness
6,2022-08-29 21:25:46.149785,57,,"Calligraphy my grandpa gave me, a piece of memory from my hometown. Identifies where I come from and gives me a sense of home.",img/818E15DD-1D9B-4F77-A559-711DFF084281.jpeg,0,216,0,homeyness
9,2022-08-29 21:43:48.926354,59,,"This fits the aspects of diminutive, engaging, variable, and aesthetics by having the designed lighting, record player, and storage box for all the records, contrasting to my dorm last year, the carpet and pillow also add on to homeyness.",img/IMG_6973.JPG,0,204,0,homeyness
10,2022-08-29 23:25:58.883070,51,,"This is my happiness wall where I put things that make me, you guessed it, happy. This wall has nice memories (mnemonic) and to me fits my aesthetic. If we zoom into the picture, we can see things that express my personality.",img/IMG_9709.jpg,0,220,0,homeyness
11,2022-08-29 23:33:40.128151,62,,"Growing up, the walls in my house were always adorned with various artworks. As a result, I find myself decorating the bleak white walls of any apartment I move into with artworks as well.",img/Image.jpeg,0,208,0,homeyness
12,2022-08-30 10:38:43.181722,66,,"The throw pillows on my bed are the aspect I selected that make my dorm feel homey. The pillows do fit in with an aspect of homeyness that was covered in class ¨Cvariable design. The pillows are all of different sizes, shapes, and textures (thus variable).",img/IMG_8251_Small.jpeg,0,215,0,homeyness
13,2022-08-30 11:48:03.196987,69,,"I've been in love with sneakers my entire childhood and my shoes are a figurative representation of my ""space"". Whenever I see them, it gives me comfort and reminds me of the memories of buying/selling shoes growing up. It adds ""homeyness"" to my dorm.",img/shoes.jpeg,0,207,0,homeyness
14,2022-08-30 12:47:23.400284,58,,"This quilted blanket has been in my family for years, and I brought it to college. It has many homeyness aspects discussed in class because it is mnemonic (reminds me of family memories), engaging (makes me feel welcomed), and aesthetic (I like the style)",img/Screen_Shot_2022-08-30_at_12.47.05_PM.png,0,207,0,homeyness
16,2022-08-30 17:48:33.884935,81,,This is a small portion of my desk that has a framed picture of me and my best friend from home. This displays the Mnemonic design element aspect of Homeyness because the picture reminds me of him every time I look at my desk and also reminds me of home.,img/0061C878-E7E3-4699-BD5C-48B4794084D4.jpeg,0,220,0,homeyness
17,2022-08-30 18:22:39.925692,83,,The porch on my college apartment fits with the design elements aspect of homeyness. The porch is an engaging physical quality that is welcoming and implicates invitation into the space. The space is warm and acts as a central gathering location.,img/IMG_0135.JPG,0,217,0,homeyness
18,2022-08-30 18:22:46.662870,82,,"While the album covers on my wall display an aesthetic arrangement and represent my musical interests and personal values, the disposable photographs add variability and mnemonic details which depict memories throughout my life, thus making it homey.",img/Screen_Shot_2022-08-30_at_6.06.18_PM.png,0,206,0,homeyness
19,2022-08-30 19:00:53.603790,78,,"The front porch of my house makes it homey due to the engaging property of homeyness. The porch, in addition to the leading stairs and the hydrangea plants, warmly welcome guests into the space and extend an invitation to gather within the home.",img/D35BDEBF-1008-48C7-8DAD-75162AC5356B.jpeg,0,201,0,homeyness
20,2022-08-30 19:14:42.955036,75,,In my dorm room I have a statue of a little donkey & alpaca which hold memories of my travels with friends & family. These objects increase the homeyness of my dorm as they are mnemonic devices: they remind me of my loved ones when I am away.,img/Screen_Shot_2022-08-30_at_7.10.42_PM.png,0,216,0,homeyness
21,2022-08-30 19:26:43.509748,64,,This is a plant on my desk table. This makes my room more ¡°homey¡± because it adds a a mnemonic item to a place that I have recently moved to. This plant defines who I am because I love nature and have grew up around gardens and plants all of my life.,img/E8C81DA9-3E81-498E-8382-88F7E7B2197A.jpeg,0,216,0,homeyness
23,2022-08-30 19:40:34.633060,85,,This wall of posters in my room references the aesthetic and mnemonic elements of homeyness. The wall of posters adds a general sense of beauty while also referencing elements of who I am by representing some of my favorite places and artists.,img/IMG_4087.jpg,0,202,0,homeyness
